text,airline_sentiment
what said,1
plu you ve ad commerci to the experi tacki,2
didn today must mean need to take anoth trip,1
it realli aggress to blast obnoxi entertain in your guest face they have littl recours,0
and it realli big bad thing about it,0
serious would pay flight for seat that didn have thi play it realli the onli bad thing about fli va,0
ye nearli everi time fli vx thi ear worm won go away,2
realli miss prime opportun for men without hat parodi there,1
well didn but now do,2
it wa amaz and arriv an hour earli you re too good to me,2
did you know that suicid is the second lead caus of death among teen,1
pretti graphic so much better than minim iconographi,2
thi is such great deal alreadi think about my nd trip to haven even gone on my st trip yet,2
fli your fabul seduct sky again take all the stress away from travel,2
thank,2
sfo pdx schedul is still mia,0
so excit for my first cross countri flight lax to mco ve heard noth but great thing about virgin america daystogo,2
flew from nyc to sfo last week and couldn fulli sit in my seat due to two larg gentleman on either side of me help,0
red_heart fli smiling_fac thumbs_up,2
you know what would be amazingli awesom bo fll pleas want to fli with onli you,2
whi are your first fare in may over three time more than other carrier when all seat are avail to select,0
love thi graphic,2
love the hipster innov you are feel good brand,2
will you be make bo non stop perman anytim soon,1
you guy mess up my seat reserv seat with my friend and you guy gave my seat away pouting_fac want free internet,0
statu match program appli and it been three week call and email with no respons,0
what happen ur vegan food option at least say on ur site so know won be abl eat anyth for next hr fail,0
do you miss me don worri we ll be togeth veri soon,1
amaz to me that we can get ani cold air from the vent vx358 noair worstflightev roast sfotobo,0
lax to ewr middl seat on red eye such noob maneuv sendambien andchexmix,1
hi just bked cool birthday trip with you but can add my elev no caus enter my middl name dure flight book problem crying_fac,0
are the hour of oper for the club at sfo that are post onlin current,1
help left expens headphon on flight iad to lax today seat no one answer number at lax,0
await my return phone call just would prefer to use your onlin self servic option,0
thi is great news america could start flight to hawaii by end of year via,2
nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperi,1
moodlight is the onli way to fli best experi ever cool and calm purple_heart airplan moodlitmonday,2
done and done best airlin around hand down,2
when can book my flight to hawaii,1
your chat support is not work on your site,0
view of downtown lo angel the hollywood sign and beyond that rain in the mountain,2
hey first time flyer next week excit but have hard time get my flight ad to my elev account help,0
plz help me win my bid upgrad for my flight lax wine_glass thumbs_up seat airplan,1
have an unus ticket but move to new citi where you don fli how can fli with you befor it expir travelhelp,1
are flight leav dalla for seattl on time feb,1
elevategold for good reason you rock,2
dream,1
