text,airline_sentiment
said,neutral
plu ad commerci experi tacki,positive
today must mean need take anoth trip,neutral
realli aggress blast obnoxi entertain guest face littl recours,negative
realli big bad thing,negative
serious would pay seat play realli bad thing fli va,negative
ye nearli everi time fli vx ear worm go away,positive
realli miss prime opportun men without hat parodi,neutral
well,positive
amaz arriv hour earli good,positive
know suicid second lead caus death among teen,neutral
pretti graphic much better minim iconographi,positive
great deal alreadi think nd trip even gone st trip yet,positive
fli fabul seduct sky take stress away travel,positive
thank,positive
sfo pdx schedul still mia,negative
excit first cross countri lax mco heard noth great thing virgin america daystogo,positive
flew nyc sfo last week fulli sit seat due two larg gentleman either side help,negative
red_heart fli smiling_fac thumbs_up,positive
know would amazingli awesom bo fll pleas want fli,positive
first fare may three time carrier seat avail select,negative
love graphic,positive
love hipster innov feel good brand,positive
make bo non stop perman anytim soon,neutral
guy mess seat reserv seat friend guy gave seat away pouting_fac want free internet,negative
statu match program appli three week call email respons,negative
happen ur vegan food option least say ur site know abl eat anyth next hr fail,negative
miss worri togeth soon,neutral
amaz get cold air vent vx358 noair worstflightev roast sfotobo,negative
lax ewr middl seat red eye noob maneuv sendambien andchexmix,neutral
hi bked cool birthday trip add elev caus enter middl name book problem crying_fac,negative
hour oper club sfo post onlin current,neutral
help left expens headphon iad lax today seat one answer number lax,negative
await return phone call would prefer use onlin self servic option,negative
great news america could start flight hawaii end year via,positive
nice rt vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperi,neutral
moodlight way fli best experi ever cool calm purple_heart airplan moodlitmonday,positive
done done best airlin around hand,positive
book hawaii,neutral
chat support work site,negative
view downtown lo angel hollywood sign beyond rain mountain,positive
hey first time flyer next week excit hard time get flight ad elev account help,negative
plz help win bid upgrad lax wine_glass thumbs_up seat airplan,neutral
unus ticket move new citi fli fli expir travelhelp,neutral
flight leav dalla seattl time feb,neutral
elevategold good reason rock,positive
dream,neutral
wow blew mind,positive
last night tribut soundofmus oscars2015 think agre,neutral
entertain,neutral
way suppos take minut ago websit still show time thank,neutral
juli andrew way though impress,positive
wish flew atlanta soon,neutral
juli andrew hand,neutral
flight leav dalla la februari th,neutral
hi excit lga deal tri book sinc last week page never load thx,negative
know need spotifi stat guiltypleasur,positive
ladi gaga amaz smiling_face_with_smiling_ey,positive
carri,neutral
new market song let u know think,neutral
juli andrew first ladi gaga wow last night carri meh,neutral
call week ago ad flight elev still shown help,negative
great go carrieunderwood smiling_face_with_heart eye hand,neutral
sorri mari martin first,neutral
love three realli beat classic,positive
dal dca pm tri check could statu pleas,neutral
heyyyi guyyyi tri get hour someon call pleas,negative
hi virgin hold minut earlier flight la nyc tonight earlier pm,negative
congrat win award best deal airlin u,positive
everyth fine lost bag,negative
need chang reserv virgin credit card need modifi phone waiv chang fee onlin,neutral
email custom servic team let know need track number,neutral
hi book need add baggag,neutral
airlin awesom lax loft need step game dirti tabl floor,negative
worri great ride new plane great crew airlin like,positive
awesom flew yall sat morn way correct bill,positive
watch best student film countri foot cmfat35000feet,neutral
first time fli differ rate polici medium bag thank,neutral
go custom servic anyway speak human asap thank,negative
happen doom,neutral
supp biz travel like custom servic like neverflyvirginforbusi,negative
appli member inflight crew team im interest flightattend dreampath,positive
best whenev begrudgingli use airlin delay late,negative
interest fli cancel next four flight plan neverflyvirginforbusi,negative
disappoint experi share everi busi travel meet neverflyvirgin,negative
troubl ad wife book elev account help,negative
bring reserv onlin use book problem code,neutral
random distribut elev avatar bet kitti disproportion share,neutral
fli va life happen tri chang trip jperhi help va home page let,neutral
site back,negative
rnp yeah know,neutral
hi get point elev account recent add point account,neutral
like tv interest video disappoint cancel flightl flight went jfk saturday,negative
land lax hour late bag check busi travel friendli nomorevirgin,negative
redirect,neutral
websit btw new websit great user experi time anoth redesign,negative
